	Muricata_M_muricata	G1_M_elongata	G5_M_elongata	G6_M_elongata	M105_M_muricata	SAI1727_M_muricata	SAI1728_M_muricata	SAI1729_M_muricata	SAI1831_M_muricata	SAI1832_M_muricata	SAI1833_M_muricata	SAI1835_M_muricata	SAI1836_M_muricata	CA2_M_elongata	CA3_M_laxa	CA4_M_laxa	CA5_M_laxa	CA6_M_laxa	PAN_3_M_laxa	PAN_M7_M_muricata	PAN_4_M_laxa	PAN_M8_M_muricata	PAN_5_M_laxa	PAN_6_M_laxa	PAN_7_M_laxa	CAR330_M_muricata	PAN_M4_M_muricata	PAN_M5_M_muricata	CAR332_M_muricata	PAN_M6_M_muricata
SAI1833_M_muricata	0.023704675349012	0.023423592242106	0.024735313407664	0.023610980980043	0.023845216902464	0.022955120397264	0.025531715543896	0.024594771854212	0.023845216902464	0.00023423592242106	0	0.00093694368968425	0.02290827321278	0.11248008994659	0.11552515693807	0.11369811674318	0.11219900683969	0.11814859926918	0.11435397732596	0.025250632436991	0.11313595052937	0.02379836971798	0.12067834723133	0.12250538742622	0.1213810549986	0.10638995596365	0.023845216902464	0.02679658952497	0.10615572004123	0.026421812049096
SAI1835_M_muricata	0.023517286611075	0.023048814766233	0.02379836971798	0.023329897873138	0.023704675349012	0.022955120397264	0.024641619038696	0.025110090883538	0.023423592242106	0.001311721165558	0.00093694368968425	0	0.022486648552422	0.11027827227584	0.11355757518973	0.11440082451045	0.10976295324651	0.1198819450951	0.11463506043287	0.024266841562822	0.11149629907243	0.022439801367938	0.11969455635716	0.12259908179518	0.12278647053312	0.10554670664293	0.023938911271433	0.026609200787033	0.10554670664293	0.026000187388738
SAI1836_M_muricata	0.021596552047222	0.022533495736906	0.024313688747306	0.023751522533496	0.02501639651457	0.022533495736906	0.024079452824885	0.026515506418064	0.020565913988569	0.021830787969643	0.02290827321278	0.022486648552422	0	0.10868546800337	0.11088728567413	0.10971610606203	0.10835753771198	0.11575939286049	0.11126206315001	0.023048814766233	0.10798276023611	0.022392954183454	0.11875761266748	0.1181017520847	0.11693057247259	0.10573409538087	0.025110090883538	0.024735313407664	0.10390705518598	0.025531715543896
CA2_M_elongata	0.10952871732409	0.10807645460508	0.10770167712921	0.11248008994659	0.11318279771386	0.10442237421531	0.11065304975171	0.11032511946032	0.10535931790499	0.11304225616041	0.11248008994659	0.11027827227584	0.10868546800337	0	0.019582123114401	0.08207626721634	0.019816359036822	0.088447484306193	0.086011430713014	0.098707017708236	0.083106905274993	0.096177269746088	0.088775414597583	0.091773634404572	0.089899747025204	0.021268621755832	0.10315750023424	0.10896655111028	0.018832568162653	0.10906024547925
CA3_M_laxa	0.11205846528624	0.11332333926731	0.11069989693619	0.11585308722946	0.11430713014148	0.10995034198445	0.11369811674318	0.11421343577251	0.1065304975171	0.11585308722946	0.11552515693807	0.11355757518973	0.11088728567413	0.019582123114401	0	0.083434835566382	0.0010306380586527	0.089337580811393	0.08685468003373	0.102361098098	0.083715918673288	0.10076829382554	0.090930385083856	0.09219525906493	0.092335800618383	0.020144289328211	0.10596833130329	0.11205846528624	0.021456010493769	0.11210531247072
CA4_M_laxa	0.11341703363628	0.11327649208283	0.11290171460695	0.11599362878291	0.11557200412255	0.10709266373091	0.11397919985009	0.11486929635529	0.11065304975171	0.11510353227771	0.11369811674318	0.11440082451045	0.10971610606203	0.08207626721634	0.083434835566382	0	0.081279865080109	0.0011243324276211	0.019816359036822	0.10306380586527	0.021081233017896	0.099503419844467	0.020612761173053	0.023470439426591	0.02201817670758	0.076173521971329	0.10713951091539	0.11093413285862	0.078703269933477	0.11084043848965
CA5_M_laxa	0.10976295324651	0.10980980043099	0.10948187013961	0.11158999344139	0.11093413285862	0.10770167712921	0.11088728567413	0.11027827227584	0.10348543052563	0.11262063150005	0.11219900683969	0.10976295324651	0.10835753771198	0.019816359036822	0.0010306380586527	0.081279865080109	0	0.087979012461351	0.085870889159561	0.099597114213436	0.083528529935351	0.097395296542678	0.090133982947625	0.091352009744214	0.09041506605453	0.019066804085074	0.10371966644805	0.1092007870327	0.020753302726506	0.10938817577064
CA6_M_laxa	0.11885130703645	0.11997563946407	0.11613417033636	0.1225522346107	0.12016302820201	0.11130891033449	0.11782066897779	0.11997563946407	0.11552515693807	0.12030356975546	0.11814859926918	0.1198819450951	0.11575939286049	0.088447484306193	0.089337580811393	0.0011243324276211	0.087979012461351	0	0.020191136512696	0.10662419188607	0.021643399231706	0.10479715169118	0.020940691464443	0.023236203504169	0.021924482338611	0.082544739061182	0.11215215965521	0.11519722664668	0.084980792654361	0.11397919985009
PAN_3_M_laxa	0.11486929635529	0.11547830975358	0.11205846528624	0.11805490490022	0.11707111402605	0.10952871732409	0.11383865829664	0.11571254567601	0.11369811674318	0.11636840625878	0.11435397732596	0.11463506043287	0.11126206315001	0.086011430713014	0.08685468003373	0.019816359036822	0.085870889159561	0.020191136512696	0	0.10634310877916	0.019535275929917	0.10184577906868	0.02169024641619	0.021643399231706	0.020893844279959	0.082919516537056	0.10718635809988	0.11051250819826	0.084418626440551	0.11327649208283
PAN_M7_M_muricata	0.022627190105875	0.022627190105875	0.021643399231706	0.023189356319685	0.023610980980043	0.020940691464443	0.023329897873138	0.025063243699054	0.023470439426591	0.024266841562822	0.025250632436991	0.024266841562822	0.023048814766233	0.098707017708236	0.102361098098	0.10306380586527	0.099597114213436	0.10662419188607	0.10634310877916	0	0.10222055654455	0.021456010493769	0.10990349479996	0.11013773072238	0.10732689965333	0.096317811299541	0.021830787969643	0.0023892064086948	0.094725007027078	0.0020612761173053
