	CA2_M_elongata	CA3_M_laxa	CA4_M_laxa	CA5_M_laxa	CA6_M_laxa	CAR330_M_muricata	CAR332_M_muricata	G1_M_elongata	G5_M_elongata	G6_M_elongata	M105_M_muricata	Muricata_M_muricata	PAN_3_M_laxa	PAN_4_M_laxa	PAN_5_M_laxa	PAN_6_M_laxa	PAN_7_M_laxa	PAN_M4_M_muricata	PAN_M5_M_muricata	PAN_M6_M_muricata	PAN_M7_M_muricata	PAN_M8_M_muricata	SAI1727_M_muricata	SAI1728_M_muricata	SAI1729_M_muricata	SAI1831_M_muricata	SAI1832_M_muricata	SAI1833_M_muricata	SAI1835_M_muricata	SAI1836_M_muricata
CA2_M_elongata	0	0.901	0.939133333333333	0.873666666666666	0.929866666666666	0.8542	0.908	0.784266666666666	0.865533333333333	0.930333333333333	0.908933333333333	0.993733333333333	0.973	0.975133333333333	0.9782	0.977	0.950533333333333	0.978866666666666	0.963533333333333	0.9114	0.940466666666666	0.740933333333333	0.974	0.973	0.946533333333333	0.9576	0.8898	0.9616	0.9502	0.944466666666666
CA3_M_laxa	0.901	0	0.8908	0.1562	0.880866666666666	0.3996	0.902066666666666	0.934066666666666	0.930066666666666	0.929933333333333	0.972466666666666	0.991533333333333	0.933933333333333	0.929333333333333	0.9358	0.931666666666666	0.934733333333333	0.9364	0.921266666666666	0.927266666666666	0.934066666666666	0.705866666666666	0.936133333333333	0.9696	0.9338	0.930866666666666	0.9384	0.947333333333333	0.929533333333333	0.962066666666666
CA4_M_laxa	0.939133333333333	0.8908	0	0.890733333333333	0.148466666666666	0.933533333333333	0.9502	0.960333333333333	0.962266666666666	0.9726	0.937266666666666	0.992666666666666	0.6024	0.570666666666666	0.5708	0.9712	0.4842	0.975066666666666	0.8772	0.727266666666666	0.7222	0.935066666666666	0.937533333333333	0.8054	0.957066666666666	0.947533333333333	0.978533333333333	0.980866666666666	0.977466666666666	0.949066666666666
CA5_M_laxa	0.873666666666666	0.1562	0.890733333333333	0	0.872733333333333	0.474466666666666	0.860466666666666	0.904	0.8994	0.8884	0.970533333333333	0.990866666666666	0.9194	0.916333333333333	0.9262	0.919533333333333	0.9298	0.923933333333333	0.9098	0.915333333333333	0.9224	0.659333333333333	0.924066666666666	0.968066666666666	0.920466666666666	0.890133333333333	0.909133333333333	0.9442	0.920733333333333	0.9428
CA6_M_laxa	0.929866666666666	0.880866666666666	0.148466666666666	0.872733333333333	0	0.904	0.912733333333333	0.928266666666666	0.929066666666666	0.9402	0.933933333333333	0.9922	0.655	0.676733333333333	0.675666666666666	0.945333333333333	0.392466666666666	0.953266666666666	0.856733333333333	0.705933333333333	0.700733333333333	0.9072	0.915733333333333	0.784466666666666	0.934	0.913266666666666	0.945933333333333	0.9544	0.9478	0.928533333333333
CAR330_M_muricata	0.8542	0.3996	0.933533333333333	0.474466666666666	0.904	0	0.6708	0.844333333333333	0.858066666666666	0.831933333333333	0.945066666666666	0.983666666666666	0.805533333333333	0.826333333333333	0.8368	0.803466666666666	0.9344	0.804466666666666	0.826466666666666	0.8	0.796733333333333	0.505933333333333	0.833333333333333	0.9326	0.800133333333333	0.783533333333333	0.8628	0.919533333333333	0.890933333333333	0.908533333333333
CAR332_M_muricata	0.908	0.902066666666666	0.9502	0.860466666666666	0.912733333333333	0.6708	0	0.8088	0.835533333333333	0.729666666666666	0.893733333333333	0.967266666666666	0.867933333333333	0.8896	0.906	0.856733333333333	0.954266666666666	0.8206	0.834866666666666	0.809466666666666	0.8086	0.435133333333333	0.8638	0.848533333333333	0.822466666666666	0.8102	0.8152	0.869266666666666	0.807333333333333	0.860533333333333
G1_M_elongata	0.784266666666666	0.934066666666666	0.960333333333333	0.904	0.928266666666666	0.844333333333333	0.8088	0	0.7444	0.514333333333333	0.301733333333333	0.989866666666666	0.908333333333333	0.925466666666666	0.94	0.8988	0.9582	0.458733333333333	0.343733333333333	0.706133333333333	0.645666666666666	0.678866666666666	0.909733333333333	0.741533333333333	0.450933333333333	0.794666666666666	0.266933333333333	0.347866666666666	0.309733333333333	0.309333333333333
G5_M_elongata	0.865533333333333	0.930066666666666	0.962266666666666	0.8994	0.929066666666666	0.858066666666666	0.835533333333333	0.7444	0	0.7504	0.889666666666666	0.989066666666666	0.914933333333333	0.931133333333333	0.937866666666666	0.922066666666666	0.9596	0.915733333333333	0.901266666666666	0.869933333333333	0.871666666666666	0.7694	0.8694	0.829933333333333	0.8858	0.784466666666666	0.836533333333333	0.9108	0.84	0.888666666666666
G6_M_elongata	0.930333333333333	0.929933333333333	0.9726	0.8884	0.9402	0.831933333333333	0.729666666666666	0.514333333333333	0.7504	0	0.542066666666666	0.923333333333333	0.888733333333333	0.908266666666666	0.924866666666666	0.882266666666666	0.961066666666666	0.622133333333333	0.6174	0.709533333333333	0.654	0.7322	0.872933333333333	0.66	0.593733333333333	0.759133333333333	0.592	0.6318	0.5464	0.613733333333333
