	ECU004_M_plantag	ECU007_M_purpurea	ECU016_M_purpurea	ECU018_M_purpurea	ECU019_M_austera	ECU021_M_purpurea	ECU022_M_hebes	ECU026_M_austera	ECU030_M_fruticosa	ECU031_M_fruticosa	ECU034_M_austera	ECU035_M_californica	ECU041_M_squarro	ECU044_M_squarro	ECU046_M_squarro	ECU048_M_squarro	ECU049_M_californica	ECU050_M_californica	ECU056_M_fruticosa	ECU065_M_fruticosa	ECU069_M_plantag	ECU070_M_squarro	ECU072_M_californica	ECU076_Muricea_sp	ECU079_M_echinata	ECU080_M_echinata	ECU082_Muricea_sp	ECU083_M_echinata	ECU085_M_echinata	ECU089_Muricea_sp	ECU109_M_robusta	ECU111_M_californica	ECU116_M_crassa	ECU117_M_crassa	ECU118_M_crassa	ECU119_M_crassa	ECU124_M_hebes	MLP143_M_fruticosa	MLP144_M_fruticosa	MLP146_M_fruticosa	MLP147_M_fruticosa	MLP150_M_fruticosa	MLP154_M_fruticosa
ECU041_M_squarro	0.7462	0.7678	0.7448	0.747666666666666	0.7444	0.7162	0.9732	0.804666666666666	0.496466666666666	0.906533333333333	0.720933333333333	0.7018	0	0.3846	0.272733333333333	0.383	0.7636	0.7826	0.8982	0.711866666666666	0.803266666666666	0.361133333333333	0.772466666666666	0.939866666666666	0.911266666666666	0.931266666666666	0.955133333333333	0.7584	0.9472	0.932866666666666	0.417066666666666	0.759	0.410533333333333	0.580733333333333	0.747933333333333	0.504866666666666	0.908866666666666	0.843866666666666	0.532133333333333	0.818266666666666	0.833	0.793333333333333	0.6692
ECU044_M_squarro	0.815933333333333	0.783733333333333	0.781066666666666	0.764266666666666	0.762	0.728866666666666	0.977466666666666	0.8662	0.494533333333333	0.721466666666666	0.7676	0.755066666666666	0.3846	0	0.424733333333333	0.131666666666666	0.778533333333333	0.776466666666666	0.928933333333333	0.7056	0.797333333333333	0.312733333333333	0.758	0.9586	0.939533333333333	0.9424	0.966733333333333	0.759333333333333	0.970133333333333	0.9396	0.6026	0.767466666666666	0.168533333333333	0.4352	0.519733333333333	0.384466666666666	0.816533333333333	0.813933333333333	0.532066666666666	0.799466666666666	0.859266666666666	0.782733333333333	0.650733333333333
ECU046_M_squarro	0.846	0.859933333333333	0.857066666666666	0.856466666666666	0.859466666666666	0.839466666666666	0.974266666666666	0.8698	0.538533333333333	0.888733333333333	0.8506	0.833666666666666	0.272733333333333	0.424733333333333	0	0.441066666666666	0.8524	0.845	0.9446	0.804933333333333	0.8738	0.223333333333333	0.825333333333333	0.965266666666666	0.9388	0.929666666666666	0.9734	0.8366	0.965666666666666	0.933333333333333	0.426666666666666	0.8384	0.442733333333333	0.639133333333333	0.714133333333333	0.5592	0.908533333333333	0.845066666666666	0.549133333333333	0.842733333333333	0.890533333333333	0.8156	0.675733333333333
ECU048_M_squarro	0.800733333333333	0.794333333333333	0.83	0.791266666666666	0.812	0.779	0.973866666666666	0.854	0.495866666666666	0.7524	0.816333333333333	0.7886	0.383	0.131666666666666	0.441066666666666	0	0.809466666666666	0.830933333333333	0.924133333333333	0.751133333333333	0.8498	0.338666666666666	0.8194	0.9512	0.928533333333333	0.936	0.958733333333333	0.807733333333333	0.968066666666666	0.934266666666666	0.577733333333333	0.817133333333333	0.241866666666666	0.428733333333333	0.525533333333333	0.457466666666666	0.807266666666666	0.805066666666666	0.514133333333333	0.793933333333333	0.8496	0.779933333333333	0.648333333333333
ECU049_M_californica	0.593133333333333	0.6642	0.5234	0.7274	0.6262	0.62	0.812466666666666	0.708466666666666	0.733266666666666	0.966333333333333	0.424866666666666	0.323666666666666	0.7636	0.778533333333333	0.8524	0.809466666666666	0	0.2088	0.762066666666666	0.604466666666666	0.392266666666666	0.8534	0.324333333333333	0.786933333333333	0.746866666666666	0.747066666666666	0.777733333333333	0.133	0.7756	0.771933333333333	0.9252	0.279733333333333	0.701866666666666	0.8204	0.833466666666666	0.7268	0.7916	0.793266666666666	0.790066666666666	0.756666666666666	0.764866666666666	0.7688	0.752266666666666
ECU050_M_californica	0.736733333333333	0.785066666666666	0.655666666666666	0.7722	0.633866666666666	0.7434	0.923533333333333	0.833066666666666	0.853533333333333	0.971466666666666	0.434933333333333	0.430866666666666	0.7826	0.776466666666666	0.845	0.830933333333333	0.2088	0	0.8822	0.568	0.5166	0.865466666666666	0.430933333333333	0.908466666666666	0.879066666666666	0.872533333333333	0.909266666666666	0.244133333333333	0.904866666666666	0.8868	0.947133333333333	0.417466666666666	0.689	0.8694	0.8552	0.614133333333333	0.91	0.906466666666666	0.912666666666666	0.892133333333333	0.8918	0.892133333333333	0.874533333333333
ECU056_M_fruticosa	0.730333333333333	0.631933333333333	0.5998	0.815666666666666	0.852133333333333	0.666466666666666	0.185733333333333	0.285466666666666	0.538466666666666	0.921866666666666	0.860266666666666	0.679266666666666	0.8982	0.928933333333333	0.9446	0.924133333333333	0.762066666666666	0.8822	0	0.622933333333333	0.385066666666666	0.929866666666666	0.549666666666666	0.153066666666666	0.3982	0.403	0.162333333333333	0.6874	0.76	0.1586	0.953066666666666	0.565133333333333	0.933066666666666	0.8832	0.891133333333333	0.917733333333333	0.506666666666666	0.223333333333333	0.548066666666666	0.318533333333333	0.2118	0.233333333333333	0.4642
ECU065_M_fruticosa	0.607266666666666	0.418266666666666	0.402	0.582266666666666	0.611733333333333	0.420933333333333	0.702666666666666	0.5486	0.5182	0.933	0.669266666666666	0.467066666666666	0.711866666666666	0.7056	0.804933333333333	0.751133333333333	0.604466666666666	0.568	0.622933333333333	0	0.513266666666666	0.791133333333333	0.470666666666666	0.661866666666666	0.632266666666666	0.655266666666666	0.676066666666666	0.507	0.758866666666666	0.6628	0.9218	0.482	0.679066666666666	0.778	0.795133333333333	0.42	0.6534	0.6232	0.6216	0.5854	0.586066666666666	0.6048	0.588266666666666
ECU069_M_plantag	0.660133333333333	0.566533333333333	0.4072	0.733133333333333	0.627933333333333	0.558333333333333	0.436933333333333	0.334933333333333	0.5642	0.97	0.546733333333333	0.344333333333333	0.803266666666666	0.797333333333333	0.8738	0.8498	0.392266666666666	0.5166	0.385066666666666	0.513266666666666	0	0.8744	0.1922	0.412533333333333	0.4062	0.387933333333333	0.417066666666666	0.334666666666666	0.7574	0.400066666666666	0.950533333333333	0.210333333333333	0.740666666666666	0.881466666666666	0.849133333333333	0.778933333333333	0.552933333333333	0.420133333333333	0.555866666666666	0.397466666666666	0.397066666666666	0.397	0.447933333333333
ECU070_M_squarro	0.8578	0.816933333333333	0.854066666666666	0.813866666666666	0.834333333333333	0.800133333333333	0.975533333333333	0.8644	0.493266666666666	0.771266666666666	0.846733333333333	0.845933333333333	0.361133333333333	0.312733333333333	0.223333333333333	0.338666666666666	0.8534	0.865466666666666	0.929866666666666	0.791133333333333	0.8744	0	0.846533333333333	0.9592	0.939666666666666	0.9384	0.967266666666666	0.850933333333333	0.967666666666666	0.937	0.4948	0.841733333333333	0.3418	0.525	0.5832	0.4746	0.8096	0.8016	0.460133333333333	0.791933333333333	0.859333333333333	0.78	0.637066666666666
