	MLP143_M_fruticosa	MLP144_M_fruticosa	MLP146_M_fruticosa	MLP147_M_fruticosa	MLP150_M_fruticosa	MLP154_M_fruticosa	ECU004_M_plantag	ECU007_M_purpurea	ECU016_M_purpurea	ECU018_M_purpurea	ECU019_M_austera	ECU021_M_purpurea	ECU022_M_hebes	ECU026_M_austera	ECU030_M_fruticosa	ECU031_M_fruticosa	ECU034_M_austera	ECU035_M_californica	ECU041_M_squarro	ECU044_M_squarro	ECU046_M_squarro	ECU048_M_squarro	ECU049_M_californica	ECU050_M_californica	ECU056_M_fruticosa	ECU065_M_fruticosa	ECU069_M_plantag	ECU070_M_squarro	ECU072_M_californica	ECU076_Muricea_sp	ECU079_M_echinata	ECU080_M_echinata	ECU082_Muricea_sp	ECU083_M_echinata	ECU085_M_echinata	ECU089_Muricea_sp	ECU109_M_robusta	ECU111_M_californica	ECU116_M_crassa	ECU117_M_crassa	ECU118_M_crassa	ECU119_M_crassa	ECU124_M_hebes
ECU019_M_austera	0.10086198819451	0.10198632062213	0.097723226834067	0.097957462756488	0.098941253630657	0.1011899184859	0.11749273868641	0.019207345638527	0.022861426028296	0.018176707579874	0	0.021502857678253	0.070458165464256	0.036493956713201	0.088681720228614	0.081092476342172	0.037665136325307	0.12770542490396	0.1011899184859	0.097020519066804	0.097395296542678	0.098800712077204	0.13037571441956	0.12203691558137	0.087510540616509	0.11004403635342	0.12156844373653	0.099597114213436	0.12836128548674	0.10587463693432	0.11664948936569	0.1207720416003	0.13032886723508	0.12742434179706	0.12231799868828	0.12587838470908	0.088588025859646	0.12147474936756	0.10100252974796	0.098800712077204	0.098425934601331	0.10048721071864	0.074580717698866
ECU021_M_purpurea	0.10170523751523	0.10446922139979	0.10165839033074	0.10015928042725	0.099316031106531	0.10156469596177	0.11889815422093	0.021971329523096	0.024829007776633	0.020706455542022	0.021502857678253	0	0.072191511290171	0.03714981729598	0.092851119647709	0.084606015178488	0.037337206033917	0.12625316218495	0.10212686217558	0.097114213435773	0.09875386489272	0.1002998219807	0.13154689403167	0.1222711515038	0.090274524501077	0.11219900683969	0.12208376276586	0.099878197320341	0.12526937131078	0.10517192916706	0.11519722664668	0.11974140354165	0.12864236859365	0.12695586995222	0.12156844373653	0.12676848121428	0.090227677316593	0.12353602548487	0.099362878291015	0.09875386489272	0.099550267028952	0.098332240232362	0.075986133233393
ECU022_M_hebes	0.077016771292045	0.078750117117961	0.075892438864424	0.074018551485056	0.075002342359224	0.075939286048908	0.10072144664106	0.06839688934695	0.069240138667666	0.071676192260845	0.070458165464256	0.072191511290171	0	0.062634685655392	0.068631125269371	0.06572659983135	0.065867141384803	0.10320434741872	0.076407757893751	0.073503232455729	0.074159093038508	0.07406539866954	0.10728005246885	0.10095568256348	0.067319404103813	0.086245666635435	0.10161154314626	0.074861800805772	0.10545301227396	0.084559167994004	0.092897966832193	0.09519347887192	0.10521877635154	0.10638995596365	0.097582685280615	0.10390705518598	0.068584278084887	0.10128361285487	0.074112245854024	0.074112245854024	0.073550079640214	0.075330272650614	0.015506418064274
ECU026_M_austera	0.093881757706362	0.094256535182236	0.092054717511478	0.09041506605453	0.08985289984072	0.093460133046004	0.11084043848965	0.034854305256254	0.035931790499391	0.034573222149349	0.036493956713201	0.03714981729598	0.062634685655392	0	0.082638433430151	0.076360910709266	0.018785720978169	0.11922608451232	0.091539398482151	0.087229457509604	0.090227677316593	0.090602454792467	0.1234423311159	0.11449451887942	0.081139323526656	0.10081514101003	0.11683687810363	0.09130516255973	0.11894500140542	0.097020519066804	0.10915393984822	0.11201161810175	0.12152159655205	0.11786751616228	0.11430713014148	0.1172116555795	0.081467253818045	0.11566569849152	0.089665511102783	0.090883537899372	0.088962803335519	0.088166401199288	0.066569849152066
ECU030_M_fruticosa	0.04281832661857	0.042724632249602	0.043099409725475	0.041647147006465	0.042912020987539	0.043286798463412	0.12377026140729	0.090087135763141	0.094115993628783	0.091726787220088	0.088681720228614	0.092851119647709	0.068631125269371	0.082638433430151	0	0.048018364096318	0.085027639838846	0.13060995034198	0.070786095755645	0.068959055560761	0.070083387988382	0.072238358474656	0.13173428276961	0.12948561791436	0.049189543708423	0.067178862550361	0.12751803616603	0.071535650707392	0.12897029888504	0.099831350135857	0.11941347325026	0.11936662606577	0.13112526937131	0.13121896374028	0.12208376276586	0.12873606296262	0.06305631031575	0.12925138199194	0.073550079640214	0.071348261969456	0.072050969736719	0.070926637309098	0.069052749929729
ECU031_M_fruticosa	0.055513913613792	0.056544551672445	0.05649770448796	0.056919329148318	0.054530122739623	0.05504544176895	0.11688372528811	0.079452824885224	0.083762765857772	0.083715918673288	0.081092476342172	0.084606015178488	0.06572659983135	0.076360910709266	0.048018364096318	0	0.079124894593835	0.12119366626066	0.060948187013961	0.061697741965708	0.062119366626066	0.060245479246697	0.1225522346107	0.11950716761923	0.013023517286611	0.082778974983603	0.11931977888129	0.062072519441582	0.1213810549986	0.093132202754614	0.11051250819826	0.11271432586902	0.12124051344514	0.12302070645554	0.11744589150192	0.12105312470721	0.055841843905181	0.11950716761923	0.062775227208845	0.062259908179518	0.061182422936382	0.062681532839876	0.06394640682095
ECU034_M_austera	0.09786376838752	0.096411505668509	0.095006090133983	0.093928604890846	0.09341328586152	0.095427714794341	0.11318279771386	0.034901152440738	0.036072332052844	0.036212873606296	0.037665136325307	0.037337206033917	0.065867141384803	0.018785720978169	0.085027639838846	0.079124894593835	0	0.12269277616415	0.095380867609857	0.092007870326993	0.095474561978825	0.095380867609857	0.12498828820388	0.11824229363815	0.083809613042256	0.10381336081702	0.1189918485899	0.095099784502951	0.12091258315375	0.097254754989225	0.10695212217746	0.11257378431556	0.1207720416003	0.12245854024173	0.11248008994659	0.11655579499672	0.084933945469877	0.11791436334676	0.093881757706362	0.093600674599457	0.092663730909772	0.09252318935632	0.068631125269371
ECU035_M_californica	0.13276492082826	0.1367937786939	0.13098472781786	0.13346762859552	0.13309285111965	0.13538836315937	0.02169024641619	0.12039726412443	0.12714325869015	0.12882975733158	0.12770542490396	0.12625316218495	0.10320434741872	0.11922608451232	0.13060995034198	0.12119366626066	0.12269277616415	0	0.13299915675068	0.12681532839876	0.13192167150754	0.13360817014897	0.019113651269559	0.021315468940317	0.12189637402792	0.069895999250445	0.024454230300759	0.12836128548674	0.025953340204254	0.092242106249414	0.10104937693245	0.1050313876136	0.11149629907243	0.019254192823011	0.10292326431182	0.10999718916893	0.12320809519348	0.024969549330085	0.13168743558512	0.13192167150754	0.12971985383678	0.13562259908179	0.1002998219807
ECU041_M_squarro	0.077485243136887	0.078141103719666	0.075330272650614	0.076360910709266	0.076314063524782	0.076454605078235	0.13014147849714	0.097816921203036	0.10250163965146	0.10095568256348	0.1011899184859	0.10212686217558	0.076407757893751	0.091539398482151	0.070786095755645	0.060948187013961	0.095380867609857	0.13299915675068	0	0.022205565445517	0.02290827321278	0.023095661950717	0.13571629345076	0.12953246509885	0.060901339829476	0.102361098098	0.13459196102314	0.023657828164527	0.13262437927481	0.10756113557575	0.1261126206315	0.1296730066523	0.14011992879228	0.13543521034386	0.13496673849902	0.13988569286986	0.042349854773728	0.13388925325588	0.037056122927012	0.037102970111496	0.034432680595896	0.037899372247728	0.078047409350698
ECU044_M_squarro	0.074487023329898	0.075892438864424	0.072613135950529	0.074861800805772	0.072659983135014	0.074346481776445	0.12288016490209	0.094069146444299	0.097723226834067	0.098425934601331	0.097020519066804	0.097114213435773	0.073503232455729	0.087229457509604	0.068959055560761	0.061697741965708	0.092007870326993	0.12681532839876	0.022205565445517	0	0.022814578843811	0.01991005340579	0.12761173053499	0.1234423311159	0.060995034198445	0.095708797901246	0.12564414878666	0.019535275929917	0.12606577344702	0.099175489553078	0.12133420781411	0.12273962334864	0.13370186451794	0.12948561791436	0.12644055092289	0.13374871170243	0.042724632249602	0.12653424529186	0.034947999625222	0.036025484868359	0.033402042537243	0.034620069333833	0.073596926824698
